,company,year,kms_driven,fuel_type
89,Hyundai,2008,45000.0,Petrol
90,Toyota,2009,35000.0,Petrol
91,Honda,2005,50000.0,Petrol
92,Hyundai,2014,32000.0,Petrol
93,Skoda,2011,45863.0,Diesel
94,BMW,2011,60500.0,Petrol
95,Maruti,2011,12500.0,Petrol
96,Toyota,2013,60000.0,Diesel
97,Ford,2012,35000.0,Diesel
98,Maruti,2014,35000.0,Petrol
99,Chevrolet,2012,45000.0,Diesel
100,BMW,2009,35000.0,Petrol
101,Mahindra,2013,38000.0,Diesel
102,Hyundai,2014,18000.0,Petrol
103,Hyundai,2015,35000.0,Diesel
104,Maruti,2013,13349.0,Petrol
105,Maruti,2016,29000.0,Petrol
106,Ford,2014,44000.0,Diesel
107,Maruti,2016,29000.0,Petrol
108,Maruti,2013,42000.0,Diesel
109,Maruti,2012,14000.0,Petrol
110,Hyundai,2014,49000.0,Diesel
111,Honda,2014,42000.0,Petrol
112,Hyundai,2012,36200.0,Diesel
113,Ford,2014,50000.0,Diesel
114,Maruti,2015,55000.0,Petrol
115,Maruti,2014,45000.0,Petrol
116,Maruti,2007,51000.0,Petrol
117,Maruti,2014,19000.0,Petrol
118,Maruti,2009,46000.0,Petrol
119,Maruti,2013,33000.0,Diesel
120,Maruti,2013,13349.0,Petrol
121,Maruti,2015,104000.0,Diesel
122,Toyota,2014,55000.0,Petrol
123,Hyundai,2011,33333.0,Diesel
124,Chevrolet,2012,33600.0,Petrol
125,Maruti,2017,5600.0,Petrol
126,Nissan,2011,41000.0,Petrol
127,Maruti,2007,70000.0,Petrol
128,Maruti,2018,7500.0,Petrol
129,Honda,2013,45000.0,Diesel
130,Maruti,2015,38000.0,Petrol
131,Chevrolet,2015,30000.0,Petrol
132,Toyota,2009,26000.0,Petrol
133,Honda,2010,35000.0,Petrol
134,Ford,2016,24330.0,Diesel
135,Hyundai,2009,65480.0,Petrol
136,Maruti,2013,41000.0,Petrol
137,Tata,2006,20000.0,Petrol
139,Hindustan,2000,200000.0,Diesel
140,Toyota,2010,70000.0,Petrol
141,Toyota,2012,59000.0,Petrol
142,Toyota,2012,99000.0,Diesel
143,Volkswagen,2014,46000.0,Diesel
144,Volkswagen,2015,2800.0,Petrol
145,Volkswagen,2014,32000.0,Petrol
146,Mahindra,2015,22000.0,Diesel
147,Renault,2014,50000.0,Diesel
148,Honda,2015,22000.0,Petrol
149,Nissan,2012,45000.0,Petrol
150,Hyundai,2018,21000.0,Petrol
151,Renault,2016,11000.0,Petrol
152,Renault,2013,41000.0,Diesel
153,Ford,2017,39000.0,Petrol
154,Renault,2014,50000.0,Diesel
155,Mahindra,2011,66000.0,Diesel
156,Maruti,2018,3000.0,Petrol
157,Chevrolet,2010,45000.0,Petrol
158,Datsun,2016,7000.0,Petrol
159,Maruti,2010,38500.0,Diesel
160,Fiat,2012,37200.0,Diesel
161,Maruti,2010,43200.0,Diesel
162,Toyota,2013,24800.0,Petrol
163,Hyundai,2014,60000.0,Diesel
164,Hyundai,2010,45872.0,Petrol
165,Chevrolet,2011,40000.0,Diesel
166,Chevrolet,2011,45000.0,Diesel
167,Chevrolet,2012,38000.0,Diesel
168,Mahindra,2014,50000.0,Diesel
169,Tata,2011,11400.0,Diesel
170,Toyota,2015,42000.0,Petrol
171,Honda,2014,39000.0,Petrol
172,Maruti,2011,47000.0,Diesel
173,Hyundai,2013,27000.0,Petrol
174,Mahindra,2015,97200.0,Diesel
175,Mahindra,2014,52000.0,Diesel
176,Honda,2012,30000.0,Petrol
177,Ford,2011,55000.0,Diesel
178,Honda,2013,46000.0,Diesel
179,Honda,2015,30000.0,Diesel
180,Maruti,2012,44000.0,Petrol
181,Honda,2014,45000.0,Diesel
182,Hyundai,2009,31000.0,Petrol
183,Tata,2016,175430.0,Diesel
184,Hyundai,2015,38000.0,Diesel
186,Mahindra,2013,37000.0,Diesel
187,Fiat,2008,65000.0,Petrol
188,Skoda,2011,38200.0,Diesel
189,Mini,2013,13000.0,Petrol
190,Hyundai,2005,7500.0,Petrol
191,Maruti,2016,3350.0,Petrol
192,Maruti,2000,60000.0,Petrol
193,Honda,2015,54000.0,Petrol
194,Hyundai,2017,32000.0,Petrol
196,Mahindra,2007,75000.0,Diesel
197,Mahindra,2012,62000.0,Diesel
198,Toyota,2006,73000.0,Diesel
199,Maruti,2011,41000.0,Petrol
200,Maruti,2011,35000.0,Petrol
201,Tata,2013,2200.0,Petrol
202,Maruti,2013,39000.0,Petrol
203,Maruti,2009,45000.0,Petrol
204,Maruti,2006,45000.0,Petrol
205,Tata,2012,65000.0,Diesel
207,Maruti,2010,54870.0,Petrol
208,Maruti,2010,34580.0,Petrol
209,Volkswagen,2009,97000.0,Diesel
210,Renault,2015,25000.0,Diesel
211,Mahindra,2013,20000.0,Diesel
212,Hyundai,2014,20000.0,Petrol
213,Hyundai,2015,18000.0,Petrol
214,Mahindra,2012,35000.0,Diesel
216,Renault,2012,35000.0,Diesel
217,Mahindra,2013,80200.0,Diesel
218,Force,2015,3200.0,Diesel
219,Maruti,2012,46000.0,Diesel
220,Mahindra,2019,0.0,Diesel
221,Maruti,2015,5000.0,Petrol
223,Toyota,2011,36000.0,Diesel
224,Volkswagen,2015,38000.0,Diesel
225,Honda,2008,45000.0,Petrol
226,Maruti,2006,71200.0,Petrol
227,Honda,2016,52000.0,Diesel
228,Mahindra,2016,29000.0,Diesel
229,Mitsubishi,2015,47000.0,Diesel
230,Audi,2009,47000.0,Petrol
231,Mercedes,2015,20000.0,Diesel
232,Land,2015,30000.0,Diesel
233,Renault,2017,5000.0,Petrol
234,Tata,2014,35000.0,Diesel
235,Mercedes,2014,31000.0,Petrol
236,Datsun,2016,7000.0,Petrol
237,Tata,2016,175430.0,Diesel
238,Tata,2016,175400.0,Diesel
239,Honda,2016,41000.0,Petrol
240,Honda,2014,33000.0,Petrol
241,Honda,2013,46000.0,Diesel
242,Honda,2012,45000.0,Petrol
243,Honda,2015,39000.0,Diesel
244,Honda,2015,22000.0,Petrol
245,Audi,2009,47000.0,Petrol
246,Force,2015,3200.0,Diesel
247,Mahindra,2015,30000.0,Diesel
248,Hyundai,2015,37000.0,Diesel
249,Mini,2013,13000.0,Petrol
250,Maruti,2017,14000.0,Petrol
251,Chevrolet,2013,55000.0,Diesel
252,Honda,2013,46000.0,Diesel
253,Hyundai,2012,30000.0,Petrol
254,Tata,2013,50000.0,Diesel
255,Maruti,2003,45000.0,Petrol
256,Maruti,2006,45000.0,Petrol
257,Maruti,2015,9300.0,Petrol
258,Chevrolet,2013,55000.0,Diesel
259,Hyundai,2012,36200.0,Diesel
260,Ford,2014,50000.0,Diesel
261,Maruti,2015,55000.0,Petrol
262,Maruti,2014,45000.0,Petrol
263,Maruti,2007,51000.0,Petrol
264,Maruti,2014,19000.0,Petrol
265,Maruti,2009,46000.0,Petrol
266,Maruti,2013,33000.0,Diesel
267,Maruti,2010,36000.0,Petrol
268,Maruti,2015,22000.0,Petrol
269,Mini,2013,13500.0,Petrol
270,Nissan,2015,60000.0,Diesel
271,Renault,2013,27000.0,Diesel
272,Renault,2014,59000.0,Diesel
273,Renault,2015,19000.0,Diesel
274,Maruti,2013,30000.0,Petrol
275,Renault,2018,15000.0,Petrol
276,Maruti,2003,56758.0,Petrol
277,Renault,2018,10000.0,Petrol
278,Renault,2018,20000.0,Diesel
279,Renault,2014,49000.0,Diesel
280,Hyundai,2014,41000.0,Petrol
281,Maruti,2011,45000.0,Petrol
282,Chevrolet,2010,43000.0,Petrol
283,Tata,2016,175430.0,Diesel
284,Hyundai,2000,56450.0,Petrol
285,Hyundai,2015,38000.0,Diesel
287,Chevrolet,2010,56000.0,Petrol
288,Mahindra,2013,37000.0,Diesel
289,Fiat,2008,65000.0,Petrol
290,Chevrolet,2015,32700.0,Petrol
291,Skoda,2011,38200.0,Diesel
292,Ford,2016,30000.0,Diesel
293,Hyundai,2006,56000.0,Petrol
296,Mahindra,2016,9000.0,Diesel
297,Mini,2013,13000.0,Petrol
298,Mini,2013,13000.0,Petrol
299,Tata,2008,11000.0,Petrol
300,Mini,2013,13000.0,Petrol
301,Tata,2009,46000.0,Diesel
303,Mahindra,2004,160000.0,Diesel
305,Honda,2009,58559.0,Petrol
306,Mahindra,2015,30000.0,Diesel
307,Chevrolet,2013,55000.0,Diesel
308,Ford,2014,57000.0,Diesel
309,Maruti,2015,50000.0,Diesel
310,Honda,2014,37000.0,Petrol
311,Maruti,2012,40000.0,Petrol
312,Honda,2011,55000.0,Petrol
313,Mahindra,2007,170000.0,Diesel
314,Maruti,2014,55000.0,Diesel
315,Honda,2015,39000.0,Petrol
316,Honda,2014,44000.0,Petrol
317,Toyota,2009,65000.0,Petrol
318,Honda,2014,39000.0,Petrol
319,Skoda,2012,44000.0,Diesel
320,Renault,2015,49000.0,Diesel
321,Maruti,2018,9000.0,Diesel
322,Maruti,2015,45000.0,Diesel
323,Mahindra,2014,47000.0,Diesel
324,Hyundai,2012,40000.0,Diesel
325,Maruti,2016,29000.0,Diesel
326,Maruti,2016,15000.0,Petrol
327,Mahindra,2015,45000.0,Diesel
328,Honda,2014,35000.0,Petrol
329,Mahindra,2013,80000.0,Diesel
330,Mahindra,2013,68000.0,Diesel
331,Skoda,2013,50000.0,Diesel
332,Volkswagen,2010,60000.0,Diesel
333,Hyundai,2016,9000.0,Petrol
334,Tata,2012,72000.0,Diesel
335,Chevrolet,2013,60000.0,Petrol
336,Renault,2012,38000.0,Diesel
337,Hyundai,2013,45000.0,Diesel
338,Audi,2012,40000.0,Diesel
339,Hyundai,2013,20000.0,Petrol
340,Mahindra,2013,35000.0,Diesel
341,Mahindra,2016,20000.0,Diesel
342,Renault,2015,25000.0,Diesel
343,Mahindra,2013,20000.0,Diesel
344,Hyundai,2014,20000.0,Petrol
345,Hyundai,2015,18000.0,Petrol
346,Mahindra,2012,35000.0,Diesel
347,Hyundai,2017,6821.0,Petrol
348,Hyundai,2014,23000.0,Petrol
349,Hyundai,2014,14000.0,Petrol
350,Hyundai,2012,38000.0,Petrol
351,Hyundai,2015,35000.0,Diesel
352,Datsun,2017,22000.0,Petrol
353,Toyota,2011,41000.0,Petrol
354,Hyundai,2010,45000.0,Petrol
355,Hyundai,2014,44000.0,Diesel
356,Maruti,2013,45000.0,Diesel
357,Toyota,2011,52000.0,Diesel
358,Hyundai,2012,34000.0,Petrol
359,Mahindra,2018,1800.0,Diesel
361,Mahindra,2015,15000.0,Diesel
362,Honda,2010,400000.0,Petrol
363,Chevrolet,2009,44000.0,Petrol
365,Renault,2012,35000.0,Diesel
366,Mahindra,2016,72000.0,Diesel
367,Tata,2014,40000.0,Diesel
369,Mahindra,2013,80200.0,Diesel
370,Force,2015,3200.0,Diesel
371,Skoda,2013,48000.0,Diesel
372,Tata,2011,90000.0,Diesel
373,Maruti,2015,12000.0,Petrol
374,Maruti,2012,46000.0,Diesel
375,Maruti,2003,69900.0,Petrol
376,Mahindra,2019,0.0,Diesel
377,Hyundai,2011,45000.0,Petrol
378,Maruti,2015,5000.0,Petrol
379,Maruti,2016,166000.0,Diesel
380,Honda,2008,42000.0,Petrol
383,Chevrolet,2017,62000.0,Diesel
384,Honda,2010,70000.0,Petrol
386,Hyundai,2014,36000.0,Petrol
389,Maruti,1995,55000.0,Petrol
390,Toyota,2011,36000.0,Diesel
391,Volkswagen,2015,38000.0,Diesel
392,Maruti,2014,55000.0,Diesel
393,Hyundai,2015,20000.0,Diesel
394,Maruti,2012,40000.0,Petrol
396,Maruti,2004,50000.0,Petrol
397,Tata,2016,104000.0,Diesel
398,Volkswagen,2011,65000.0,Diesel
399,Mercedes,2002,41000.0,Petrol
400,Maruti,2013,90000.0,Diesel
402,Honda,2000,80000.0,Petrol
403,Hyundai,2006,46000.0,Petrol
404,Maruti,2001,70000.0,Petrol
405,Hyundai,2017,36469.0,Diesel
406,Hyundai,2018,7800.0,Petrol
407,Volkswagen,2011,65000.0,Diesel
408,Maruti,2017,60000.0,Petrol
409,Maruti,2011,32000.0,Petrol
410,Honda,2009,24695.0,Petrol
411,Hyundai,2017,15141.0,Petrol
412,Maruti,2001,40000.0,Petrol
413,Mahindra,2012,65000.0,Diesel
415,Maruti,2014,22000.0,Petrol
416,Hyundai,2016,59910.0,Diesel
417,Mahindra,2012,100000.0,Diesel
418,Hyundai,2016,25000.0,Petrol
419,Hyundai,2013,35000.0,Petrol
420,Renault,2015,65000.0,Diesel
421,Hyundai,2014,35000.0,Petrol
422,Honda,2012,33000.0,Petrol
423,Mahindra,2017,68000.0,Diesel
424,Chevrolet,2010,23000.0,Petrol
425,Mahindra,2018,4500.0,Diesel
426,Maruti,2015,129000.0,Diesel
428,Maruti,2015,5000.0,Petrol
429,Ford,2001,65000.0,Petrol
430,Toyota,2010,131000.0,Diesel
431,Tata,2010,111111.0,Petrol
434,Mercedes,2013,14000.0,Petrol
435,Chevrolet,2016,22000.0,Diesel
436,Ford,2013,38000.0,Diesel
437,Tata,2016,70000.0,Diesel
438,Hyundai,2010,36000.0,Petrol
439,Volkswagen,2015,34000.0,Diesel
440,Renault,2015,43000.0,Petrol
442,Ford,2014,40000.0,Diesel
443,Honda,2016,160000.0,Diesel
444,Hyundai,2017,12000.0,Petrol
445,BMW,2011,49000.0,Diesel
446,Skoda,2011,68000.0,Petrol
447,Audi,2013,37000.0,Diesel
448,Mahindra,2012,59466.0,Diesel
450,Mahindra,2015,97200.0,Diesel
451,Ford,2012,99000.0,Diesel
452,Maruti,2018,25500.0,Petrol
453,Mahindra,2009,66000.0,Petrol
454,Tata,2010,44005.0,Petrol
455,Mahindra,2016,35000.0,Diesel
456,Mahindra,2016,35000.0,Diesel
457,Hyundai,2015,28000.0,Petrol
458,Hyundai,2015,30000.0,Petrol
459,Honda,2017,4000.0,Petrol
460,Maruti,2016,28000.0,Petrol
461,Ford,2011,75000.0,Petrol
462,Mahindra,2015,97200.0,Diesel
463,Honda,2017,3000.0,Petrol
464,Hyundai,2015,20000.0,Petrol
465,Maruti,2004,50000.0,Petrol
466,Hyundai,2018,2110.0,Petrol
467,Mitsubishi,2015,43222.0,Petrol
468,Hyundai,2008,100200.0,Petrol
469,Toyota,2003,100000.0,Petrol
471,Tata,2015,100000.0,Diesel
472,Mahindra,2015,97200.0,Diesel
473,Mahindra,2015,97200.0,Diesel
474,Hyundai,2016,140000.0,Diesel
475,Honda,2015,55000.0,Petrol
476,Hyundai,2009,48000.0,Petrol
477,Maruti,2016,22000.0,Petrol
478,Tata,2018,103553.0,Diesel
479,Maruti,2017,80000.0,Diesel
480,Tata,2014,99000.0,Diesel
481,Toyota,2010,58000.0,Petrol
482,Maruti,2013,70000.0,LPG
483,Toyota,2015,120000.0,Diesel
484,Mahindra,2013,49800.0,Diesel
486,Maruti,2001,81876.0,Petrol
487,Maruti,2015,75000.0,Petrol
488,Maruti,2004,50000.0,Petrol
489,Honda,2014,44000.0,Diesel
490,Maruti,2016,55000.0,Diesel
491,Maruti,2017,36000.0,Diesel
492,Hyundai,2016,56000.0,Diesel
493,Maruti,2007,62000.0,Petrol
494,Toyota,2015,120000.0,Diesel
495,Maruti,2014,6020.0,Petrol
496,Honda,2013,55700.0,Diesel
497,Tata,2005,42000.0,Petrol
498,Hyundai,2003,50000.0,Petrol
499,Maruti,2010,35000.0,Petrol
500,Maruti,2014,18500.0,Petrol
501,Maruti,2007,7000.0,Petrol
502,Honda,2017,11000.0,Petrol
504,Maruti,2003,53000.0,Petrol
505,Maruti,2008,23000.0,Petrol
506,Maruti,2016,35500.0,Diesel
507,Maruti,2010,22134.0,Petrol
508,Renault,2019,1000.0,Petrol
509,Tata,2010,9000.0,Petrol
510,Jaguar,2016,8500.0,Petrol
512,Hyundai,2014,35000.0,Petrol
513,Honda,2014,22000.0,Petrol
514,Hindustan,2002,25000.0,Diesel
515,Maruti,2010,40000.0,Petrol
516,Hyundai,2017,20000.0,Petrol
517,Hyundai,2016,87000.0,Petrol
518,Maruti,2015,55000.0,Petrol
519,Maruti,2017,23000.0,Petrol
520,Honda,2014,6000.0,Petrol
521,Maruti,2013,65000.0,Petrol
522,Maruti,2016,25000.0,Diesel
523,Maruti,2015,39000.0,Petrol
525,Hyundai,2016,8000.0,Petrol
526,Mahindra,2013,75000.0,Diesel
527,Maruti,2012,51000.0,Diesel
528,Mitsubishi,2006,50000.0,Petrol
529,Maruti,2001,75000.0,Petrol
530,Maruti,2015,55800.0,Petrol
531,Hyundai,2015,53000.0,Petrol
532,Hyundai,2018,25000.0,Petrol
533,Ford,2009,56400.0,Petrol
534,Maruti,2010,72160.0,Diesel
535,Hyundai,2012,10000.0,Diesel
536,Maruti,2006,48000.0,Petrol
537,Maruti,2007,36000.0,Petrol
538,Audi,2012,11500.0,Diesel
539,Maruti,2003,133000.0,Petrol
540,Maruti,2009,27000.0,Petrol
541,Maruti,2009,35000.0,Petrol
542,Maruti,2010,55000.0,Petrol
543,Maruti,2016,40000.0,Petrol
544,Hyundai,2019,2000.0,Petrol
545,Maruti,2009,45000.0,Petrol
546,Hyundai,2009,20000.0,Petrol
547,Hyundai,2000,88000.0,Petrol
548,Hyundai,2009,20000.0,Petrol
549,Chevrolet,2012,65422.0,Diesel
550,Ford,2017,10000.0,Petrol
551,Maruti,2013,35000.0,Petrol
552,Hyundai,2013,117000.0,Diesel
553,Tata,2005,150000.0,Diesel
554,BMW,2011,72000.0,Diesel
555,Hyundai,2010,10750.0,Petrol
556,Honda,2009,55000.0,Petrol
557,Tata,2013,6800.0,Petrol
558,Chevrolet,2014,41000.0,Diesel
559,Hyundai,2015,73000.0,Diesel
561,Maruti,2011,65000.0,Diesel
562,Mahindra,2014,45000.0,Diesel
563,Mahindra,2018,40000.0,Diesel
564,Maruti,2014,37000.0,Petrol
565,Hyundai,2006,55000.0,Petrol
566,Force,2013,140000.0,Diesel
568,Maruti,2019,9800.0,Petrol
569,Chevrolet,2011,27000.0,Petrol
570,Hyundai,2009,27000.0,Petrol
571,Toyota,2012,20000.0,Diesel
572,Renault,2013,57923.0,Diesel
573,Chevrolet,2014,30201.0,Diesel
574,Maruti,2017,6200.0,Petrol
575,BMW,2009,37518.0,Petrol
576,Toyota,2014,24652.0,Petrol
578,Chevrolet,2016,95000.0,Diesel
579,Chevrolet,2011,35000.0,Diesel
580,Jeep,2015,3528.0,Diesel
581,Maruti,2013,52500.0,Diesel
582,Hyundai,2010,47900.0,Diesel
583,Maruti,2012,14000.0,Petrol
584,Maruti,2018,37000.0,Petrol
585,Tata,2017,90000.0,Diesel
586,Mahindra,2013,52800.0,Diesel
587,Tata,2016,104000.0,Diesel
588,Hyundai,2011,30000.0,Petrol
589,Tata,2014,195000.0,Diesel
590,Tata,2016,104000.0,Diesel
591,Tata,2016,104000.0,Diesel
592,Tata,2004,70000.0,Diesel
594,Hyundai,2015,43000.0,Diesel
595,Hyundai,2013,23000.0,Petrol
596,Renault,2015,51000.0,Diesel
597,Maruti,2009,62000.0,Petrol
598,Tata,2010,48008.0,Petrol
600,Renault,2013,39000.0,Diesel
601,Maruti,2010,40000.0,Petrol
602,Maruti,2006,48247.0,Petrol
603,Maruti,2012,39000.0,Diesel
604,Maruti,2014,23000.0,Petrol
605,Maruti,2017,9400.0,Petrol
606,Hyundai,2010,50000.0,Petrol
607,Hyundai,2009,75000.0,Petrol
609,Tata,2017,70000.0,Diesel
610,Mahindra,2009,64000.0,Diesel
611,Toyota,2010,55000.0,Petrol
612,Tata,2014,200000.0,Diesel
615,Renault,2018,2137.0,Petrol
617,Tata,2013,30000.0,Diesel
618,Maruti,2014,44000.0,Petrol
620,Skoda,2006,65000.0,Diesel
621,Maruti,2012,160000.0,LPG
622,Chevrolet,2011,56000.0,Diesel
623,Tata,2012,75000.0,Diesel
625,Hyundai,2018,42000.0,Diesel
626,Tata,2012,75000.0,Diesel
627,Mahindra,2007,56000.0,Diesel
628,Maruti,2002,10544.0,Petrol
629,Maruti,2011,64000.0,Petrol
630,Mahindra,2008,70000.0,Diesel
631,Hyundai,2014,25000.0,Petrol
632,Hyundai,2017,15000.0,Petrol
633,Ford,2003,50000.0,Petrol
636,Toyota,2011,147000.0,Diesel
637,Nissan,2011,52000.0,Petrol
638,Chevrolet,2012,90001.0,Diesel
639,Maruti,2017,21000.0,Petrol
640,Maruti,2012,48006.0,Diesel
641,Maruti,2012,48006.0,Diesel
642,Maruti,2012,48006.0,Diesel
644,Toyota,2012,80000.0,Diesel
646,Maruti,2010,74000.0,Diesel
647,Hyundai,2015,22000.0,Petrol
648,Mahindra,2016,41000.0,Diesel
649,Volkswagen,2015,25000.0,Diesel
650,Toyota,2012,85000.0,Diesel
651,Mahindra,2016,29500.0,Diesel
652,Hyundai,2015,30000.0,Petrol
653,Hyundai,2014,57000.0,Petrol
654,Maruti,2003,60000.0,Petrol
655,Maruti,2016,50000.0,Petrol
656,Hyundai,2013,39700.0,Petrol
657,Hyundai,2012,65000.0,Petrol
658,Maruti,2010,67000.0,Diesel
659,Maruti,2008,46000.0,Petrol
660,Hyundai,2012,38000.0,Petrol
661,Hyundai,2016,27000.0,Petrol
662,Hyundai,2011,43000.0,Diesel
663,Ford,2014,47000.0,Petrol
664,Hyundai,2011,42000.0,Petrol
665,Chevrolet,2016,19336.0,Diesel
666,Tata,2015,60105.0,Diesel
667,Jaguar,2013,29000.0,Diesel
668,Audi,2014,34000.0,Diesel
669,BMW,2011,35000.0,Diesel
670,Maruti,2015,22000.0,Petrol
671,BMW,2012,41000.0,Diesel
672,Maruti,2016,21000.0,Diesel
673,Maruti,2013,48000.0,Diesel
674,Maruti,2016,38000.0,Petrol
675,Honda,2014,34000.0,Diesel
676,Volkswagen,2011,45933.0,Petrol
677,Honda,2005,68000.0,Petrol
678,Audi,2016,44000.0,Diesel
679,Mahindra,2017,35000.0,Diesel
680,Tata,2018,102563.0,Diesel
681,Mahindra,2015,28600.0,Diesel
682,Maruti,2017,41800.0,Diesel
683,Tata,2014,116000.0,Diesel
684,Maruti,2009,59000.0,Petrol
685,Mahindra,2004,58000.0,Diesel
686,Maruti,2009,45000.0,Petrol
687,Mitsubishi,2015,42590.0,Diesel
688,Renault,2014,7400.0,Diesel
689,Volkswagen,2009,54500.0,Diesel
690,Maruti,2012,200000.0,Diesel
691,Audi,2013,27000.0,Diesel
692,Volvo,2015,42000.0,Diesel
693,Toyota,2014,29000.0,Petrol
694,Mitsubishi,2015,37000.0,Diesel
695,Chevrolet,2012,36000.0,Petrol
696,BMW,2011,34000.0,Diesel
697,Datsun,2018,7000.0,Petrol
698,Mercedes,2009,76000.0,Diesel
699,Mahindra,2004,60000.0,Diesel
700,Volkswagen,2011,95000.0,Diesel
701,Tata,2017,50000.0,Diesel
703,Honda,2006,50000.0,Petrol
704,Maruti,2008,68000.0,Petrol
705,Ford,2014,16000.0,Petrol
706,Maruti,2016,51000.0,Diesel
707,Maruti,2009,56000.0,Petrol
708,Maruti,2004,100000.0,Petrol
709,Renault,2015,36000.0,Petrol
710,Maruti,2014,11523.0,Petrol
711,Maruti,2018,1000.0,Petrol
712,Honda,2009,60000.0,Petrol
713,Tata,2016,85000.0,Diesel
714,Renault,2013,38600.0,Diesel
715,Mahindra,2009,95500.0,Diesel
716,Maruti,2004,56000.0,Petrol
717,Maruti,2014,37458.0,Petrol
718,Maruti,2016,85960.0,Diesel
719,Audi,2015,12516.0,Petrol
720,Hyundai,2018,35000.0,Petrol
722,Mahindra,2008,80000.0,Diesel
724,Hyundai,2011,45000.0,Petrol
726,Maruti,2009,51000.0,Diesel
727,Mahindra,2015,30000.0,Diesel
729,Mahindra,2011,48000.0,Diesel
730,Hyundai,2003,51000.0,Petrol
731,Chevrolet,2015,90000.0,Diesel
732,Maruti,2015,43000.0,Diesel
733,Mahindra,2015,53000.0,Diesel
734,Toyota,2013,97000.0,Diesel
735,Maruti,2013,20000.0,Petrol
736,Hyundai,2007,55000.0,Petrol
737,Maruti,2014,120000.0,Diesel
739,Hyundai,2007,46000.0,Petrol
740,Hyundai,2009,43200.0,Petrol
741,Mahindra,2011,56000.0,Diesel
742,Hyundai,2007,42000.0,Petrol
743,Tata,2009,30600.0,Diesel
744,Hyundai,2011,38000.0,Petrol
745,Hyundai,2017,2550.0,Petrol
746,Hyundai,2007,47000.0,Petrol
747,Honda,2005,41000.0,Petrol
748,Nissan,2017,62500.0,Diesel
749,Honda,2005,68000.0,Petrol
750,Maruti,2015,50000.0,Petrol
